net,length_um
_086_,113.92
_096_,104.535
_085_,100.86
_169_,98.34
_167_,94.48
_168_,91.68
clknet_2_0__leaf_clk,74.32
_150_,72.195
clknet_2_2__leaf_clk,69.7
clknet_0_clk,67.28
clknet_2_3__leaf_clk,65.66
clknet_2_1__leaf_clk,59.35
_170_,58.4
_173_,56.21
clk,46.35
_135_,45
one_second_counter\[20\],44.61
_148_,43.87
_125_,43.035
net2,42.9
one_second_counter\[25\],42.8
one_second_counter\[0\],37.44
one_second_counter\[16\],37.02
one_second_counter\[17\],35.83
one_second_counter\[12\],35.52
one_second_counter\[11\],34.74
net1,33.34
one_second_counter\[5\],32.74
one_second_counter\[13\],32.6
_068_,31.7
_097_,30.98
one_second_counter\[1\],30.12
_146_,29.68
one_second_counter\[21\],29.185
_062_,29.08
net4,28.76
_172_,28.1
one_second_counter\[6\],25.9
one_second_counter\[9\],25.73
one_second_counter\[10\],25.26
one_second_counter\[19\],22.62
net3,22.58
_171_,22.34
net5,21.2
_064_,20.8
one_second_counter\[14\],20.8
_108_,20.76
_069_,20.38
one_second_counter\[26\],20.23
_121_,20.16
one_second_counter\[18\],19.52
one_second_counter\[22\],18.26
one_second_counter\[24\],18.14
_174_,17.22
_098_,15.74
_078_,15.66
_080_,15.5
_066_,15.22
_075_,14.96
_145_,14.88
_159_,14.56
one_second_counter\[2\],14.16
_079_,13.99
_018_,13.825
one_second_counter\[8\],13.72
_091_,13.7
one_second_counter\[4\],13.335
_151_,13.26
_074_,12.38
_122_,12.34
_093_,12.12
net18,12.06
_071_,11.88
one_second_counter\[15\],11.84
_063_,11.27
_126_,10.7
_077_,10.36
_144_,10.14
_072_,9.9
_137_,9.78
one_second_counter\[23\],9.7
_103_,9.42
_138_,8.96
_099_,8.88
rst,8.72
_084_,8.66
_070_,8.62
_100_,8.58
count[0],8.5
count[1],8.5
count[2],8.5
_029_,8.41
net15,8.36
_106_,8.3
_028_,8.21
_082_,8.18
_067_,7.78
one_second_counter\[7\],7.74
_089_,7.7
_114_,7.6
_083_,7.52
_092_,7.46
_118_,7.36
_116_,7.32
_117_,7.24
_147_,7.18
_076_,7
_133_,6.92
_164_,6.86
_010_,6.84
_006_,6.76
_112_,6.76
_045_,6.71
_140_,6.66
_143_,6.66
_127_,6.64
_165_,6.45
_030_,6.41
_041_,6.36
_160_,6.26
count[3],6.21
_119_,6.18
_042_,5.91
_073_,5.86
_157_,5.84
_142_,5.76
_090_,5.72
one_second_counter\[3\],5.72
_131_,5.68
_129_,5.66
_020_,5.56
_035_,5.56
_152_,5.48
_136_,5.44
_015_,5.38
_034_,5.33
_038_,5.33
_019_,5.26
_027_,5.22
_134_,5.16
net11,5.07
net12,5.07
net13,5.07
_048_,5.07
_013_,5.04
_056_,4.93
_123_,4.8
_158_,4.8
_110_,4.78
_012_,4.765
net8,4.61
net9,4.61
net10,4.61
net6,4.61
_161_,4.48
_087_,4.42
net7,4.39
_155_,4.34
_052_,4.22
_113_,4.14
_017_,4
_061_,4
_036_,3.88
_058_,3.88
_166_,3.88
_139_,3.86
_043_,3.81
_120_,3.76
_124_,3.68
net16,3.68
_049_,3.54
_105_,3.54
_107_,3.44
net17,3.42
_101_,3.32
_039_,3.3
_054_,3.3
_022_,3.2
_047_,3.13
_130_,2.98
_109_,2.86
_050_,2.84
_004_,2.74
_007_,2.74
_024_,2.74
_025_,2.74
_141_,2.72
_163_,2.72
_055_,2.67
_059_,2.665
_026_,2.62
_104_,2.62
_156_,2.5
_033_,2.38
_014_,2.3
_065_,2.3
_009_,2.28
_016_,2.28
_031_,2.23
_037_,2.23
_040_,2.23
_046_,2.23
_001_,2.18
_003_,2.18
_011_,2.18
_021_,2.18
_060_,2.18
_005_,2.16
_008_,2.16
_095_,2.16
_094_,2.06
_154_,2.06
_051_,2.04
_002_,1.84
_081_,1.84
net14,1.84
_000_,1.82
_023_,1.82
_032_,1.82
_053_,1.82
_057_,1.82
_132_,1.72
_162_,1.72
_111_,1.6
_153_,1.46
_128_,1.38
_044_,1.36
_102_,1.25
_115_,1.14
_088_,0.92
_149_,0.46
